AppID,Name,Tag,Developers,Publishers,Positive Reviews,Negative Reviews,Median Owners,Average Playtime,Median Playtime,CCU,Price,Initial Price,Discount
1982900,Coding Learn,Indie,twelveAddOne,Bakers dozen,20,9,10000,0,0,0,1.99,1.99,0
2260540,Endless Nesla,Indie,Choose Red,Choose Red,20,0,10000,0,0,2,3.99,3.99,0
1410210,The Bible  Exodus,Indie,Paulo Robson Allonso,Paulo Robson Allonso,21,5,10000,0,0,0,5.99,5.99,0
1372700,Off The Chains Disc Golf,Indie,Dream Nerdy,Dream Nerdy,22,13,10000,0,0,1,14.99,14.99,0
1631010,Goldenjar Fall  Definitive Edition,Indie,Ardeal Studio,Gamera Interactive,23,3,10000,0,0,0,9.99,9.99,0
2200760,The Bogtavern,Indie,Bunlysh Studios,Bunlysh Studios,23,2,10000,0,0,0,2.99,2.99,0
2253290,My Grandparents Christmas Mystery,Indie,Korvinrular,Korvinrular,25,6,10000,0,0,0,0.99,0.99,0
1443100,RogueSlide,Indie,Tom Brinton Alex Morris Nathan Thomson Christian Walter,Beep Yeah,27,3,10000,0,0,0,4.99,4.99,0
1416980,Reimus Weird little adventure,Indie,Potato Chip With Onion Dip,Potato Chip With Onion Dip,28,2,10000,0,0,0,1.99,1.99,0
1836880,Yumeiri,Indie,Affility,Affility,29,2,10000,0,0,1,8.00,8.00,0
1864070,YUME  Special Edition,Indie,Lovely Games,Lovely Games,29,62,10000,0,0,0,3.99,3.99,0
2012910, Swallow,Indie,MEN,MEN,30,9,10000,0,0,0,3.99,3.99,0
2158130,Deadly Harvest,Indie,Long Lost,Long Lost,31,0,10000,0,0,0,0.99,0.99,0
2146770,Deputinization,Indie,Myttsi Zabav,Myttsi Zabav,32,0,10000,0,0,0,5.97,5.97,0
1050260,Isle of Pan,Indie,Dog,Dog,33,1,10000,0,0,0,19.99,19.99,0
1912500,ISOLATE,Indie,subkan,subkan,41,2,10000,0,0,0,1.99,1.99,0
1243520,KUR,Indie,Really Ragdoll,The Quantum Astrophysicists Guild,42,21,10000,0,0,0,19.99,19.99,0
1440290,Psycho,Indie,Rachata Suksereekul,Good Monkey,49,39,10000,0,0,0,1.99,1.99,0
1520170,Sexy Sniper,Indie,Guilty Pleasure Games,Guilty Pleasure Games,51,17,10000,0,0,0,0.49,0.99,51
1518690,Nevermore The Chamber Door,Indie,Burning Bright,Burning Bright,51,6,10000,0,0,0,7.99,7.99,0
1774700,INVERT,Indie,Naoka Games,Naoka Games,55,1,10000,0,0,0,1.99,1.99,0
1407890,hexurb,Indie,byMixNez,byMixNez,57,17,10000,0,0,0,4.99,4.99,0
2412700,It Is Ticking,Indie,YenThe Studio,YenThe Studio,57,2,10000,0,0,0,6.99,6.99,0
1319790,Yogurt Commercial ,Indie,Epic Banana Games LLC,Epic Banana Games LLC,60,0,10000,0,0,0,9.99,9.99,0
1504220,The Penguin IQ Test,Indie,Paul Demanze,Paul Demanze,65,1,10000,0,0,0,0.99,0.99,0
1544460,The Third Day,Indie,Pan Studio,Pan Studio,74,16,10000,0,0,0,0.99,0.99,0
1608660,Overhaul,Indie,Bread Panda,Bread Panda,75,7,10000,0,0,0,11.99,11.99,0
988310,Viola The Heroines Melody,Indie,Jelle van Doorne,Jelle van Doorne,80,3,10000,0,0,0,14.99,14.99,0
2180350, GenzaiSerialization,Indie,Genzai Studio,Genzai Studio,81,14,10000,0,0,0,3.99,3.99,0
2111040,Dead Beacon,Indie,SelianiDEV,SelianiDEV,82,9,10000,0,0,0,4.99,4.99,0
1020030,Quantum Suicide,Indie,Cotton Candy Cyanide,Cotton Candy Cyanide,85,24,10000,0,0,0,19.99,19.99,0
824570,Kine,Indie,Chump Squad,Chump Squad,98,6,10000,0,0,0,14.99,14.99,0
1209990,BMS,Indie,,,115,36,10000,0,0,0,12.99,12.99,0
1572270,FISH,Indie,Tim Kashani,Fireapples,193,13,10000,0,0,0,7.99,7.99,0
688200,Cassandras Fabulous Foray,Indie,Arcani Interactive,Arcani Interactive,1,1,10000,0,0,0,0.99,0.99,0
1371510,This Game Might Improve Your Memory,Indie,Harrison Mansolf,Harrison Mansolf,1,1,10000,0,0,0,0.00,0.00,0
730780,Kentucky Dash,Indie,Super Soul LLC,Super Soul LLC,2,0,10000,0,0,0,4.99,4.99,0
1103250,FORT,Indie,PanzerCat,RMSU,2,1,10000,0,0,0,2.99,2.99,0
1308060,Craft city,Indie,Kedexa,Kedexa,4,11,10000,0,0,0,0.99,0.99,0
774891,Fenix Box,Indie,Green Lava Studios,Green Lava Studios,5,2,10000,0,0,0,0.99,0.99,0
1107510,Favo,Indie,flow Inc tackgames,flow Inc,5,7,10000,0,0,0,7.99,7.99,0
1268330,ENHANCE,Indie,Virtuleap,Virtuleap,5,2,10000,0,0,0,0.00,0.00,0
1002520,Eggys Games Flash Collection,Indie,Eggy,Eggys Games,6,1,10000,0,0,0,2.99,2.99,0
436510,Worlds of Chaos Invasion,Indie,Tactichaos,Tactichaos,7,7,10000,0,0,0,14.99,14.99,0
766780,STAX,Indie,Moda Code Games,Moda Code Games,7,4,10000,0,0,0,1.99,1.99,0
1254160,Sleeping Beauty,Indie,Tize Game Studio,Tize Game Studio,8,9,10000,0,0,0,1.99,1.99,0
494530,Orc Hunter VR,Indie,Orc Hunter Developer Team,Orc Hunter Developer Team,9,14,10000,0,0,0,0.00,0.00,0
809770,DeerHunterX,Indie,Hunterx,Hunterx,9,50,10000,0,0,0,10.99,10.99,0
1043380,The Trials of Olympus III King of the World,Indie,eFunSoft Games,HHGames,9,8,10000,0,0,0,5.99,5.99,0
1259860,GraFi StPatrick,Indie,Blender Games,Blender Games,9,3,10000,0,0,0,1.99,1.99,0
1238490,MoonRun,Indie,Boulder Trap Games,Boulder Trap Games,9,5,10000,0,0,1,0.00,0.00,0
1386910, Sachie Death Road,Indie,FooNnProject,FooNnProject,9,5,10000,0,0,0,4.99,4.99,0
377100,UnderEarth,Indie,CrackerJack Games,CrackerJack Games,11,4,10000,196,196,0,0.99,0.99,0
494160,Lionheart,Indie,Shiisanmei,Fruitbat Factory,11,6,10000,0,0,0,0.00,0.00,0
802920,The Geology Game,Indie,Spaghetti Code,Spaghetti Code,11,3,10000,0,0,0,0.99,0.99,0
857860,Planetary Settlers,Indie,Leveler Games,Leveler Games,11,1,10000,0,0,0,4.99,4.99,0
1283810,Solenars Edge II Aurora of The Seventh Dawn,Indie,Team Syukino,Team Syukino,11,0,10000,0,0,0,0.00,0.00,0
861550,Neon Universe,Indie,SharF Co,SharF Co,12,13,10000,0,0,0,3.99,3.99,0
533890,ReBoot,Indie,Georgy Topalo Simeon Simeonich,Georgy Topalo,13,8,10000,0,0,0,1.99,1.99,0
566150,Bowling at the Lake,Indie,WhirlVFX,WhirlVFX,13,9,10000,10,10,0,0.00,0.00,0
654680,Ziggurat D Chess,Indie,Michael Lampel,Lampel Enterprises,14,13,10000,1,1,0,0.00,0.00,0
1113760,Roads of time,Indie,GameOn Production,Floor,13,1,10000,0,0,1,4.99,4.99,0
1250590,ESCAPE POINT,Indie,ONEIMMERS CO LTD,ONEIMMERS CO LTD,13,14,10000,0,0,0,0.00,0.00,0
1196690,OctaFight,Indie,Pixel Almost Perfect,Pixel Almost Perfect,13,2,10000,0,0,1,5.99,5.99,0
506840,The Dungeons of Castle Madness,Indie,Third Impression,Third Impression,14,11,10000,0,0,0,4.99,4.99,0
510070,Shiperoids,Indie,Frizzank,Frizzank,14,3,10000,0,0,0,0.99,0.99,0
613200,Dead Days,Indie,Duskroad Games,Duskroad Games,14,3,10000,0,0,0,2.99,2.99,0
748800,Savage Offroad,Indie,Backburner Games,Backburner Games,15,10,10000,0,0,0,0.00,0.00,0
1047190,Lantern of Worlds  The Story of Layla,Indie,Fasold Games,Fasold Games,15,0,10000,0,0,0,0.00,0.00,0
1192860,Winter Snow  ,Indie,,HongbinGame,16,10,10000,0,0,0,1.99,1.99,0
387090,Revolution  Virtual Playspace,Indie,Dragom,Dragom,17,17,10000,0,0,0,19.99,19.99,0
877800,Swimsanity,Indie,Decoy Games LLC,Decoy Games LLC,17,6,10000,0,0,0,14.99,14.99,0
